,Age,Income,No of Years,FreqBra,FreqATM,FreqPOS,FreqInt,cust_care_score,complaints_score,branches_score,exec_eff_score,prod_score,val_for_money_score,cluster,Age_bin,Income_bin,Bank,Gender,Most frequently used Bank,Location,Education,Employment Category,Changeplan,FromBank,ToBank
21237,33,75000.0,4.0,6.0,6.0,6.0,6.0,9.0,0.0,18.0,8.0,8.0,9.0,0,31-35,"N50,000 - N100,000",Bank N,Male,,Lagos,OND/HND,Self Employed,No,,
21239,25.5,25000.0,4.0,6.0,30.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21-30,"Below N50,000",Bank C,Female,Bank K,Lagos,Secondary school leaving certificate,Student,No,,
21240,25.5,25000.0,3.0,6.0,30.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21-30,"Below N50,000",Bank K,Female,Bank K,Lagos,Secondary school leaving certificate,Student,No,,
21243,19,25000.0,3.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0,0,18-20,"Below N50,000",Bank C,Female,Bank C,Lagos,Secondary school leaving certificate,Student,No,,
21244,25.5,75000.0,1.0,0.5,6.0,30.0,0.5,52.0,38.0,120.0,32.0,40.0,30.0,3,21-30,"N50,000 - N100,000",Bank H,Female,Bank D,Lagos,Bachelor's Decree,Private Sector Employee,No,,
21246,25.5,25000.0,3.0,6.0,6.0,6.0,6.0,-10.0,-9.0,-54.0,0.0,-10.0,0.0,0,21-30,"Below N50,000",Bank O,Female,Bank O,Lagos,Secondary school leaving certificate,Student,Yes,Bank O,Bank C
21247,33,175000.0,8.0,2.0,6.0,2.0,0.5,117.0,30.0,163.0,19.0,37.0,30.0,3,31-35,"N101,000 - N250,000",Bank N,Male,,Lagos,Bachelor's Decree,Civil/Public Servant,Yes,Bank B,Bank H
21248,33,175000.0,15.0,2.0,6.0,2.0,0.5,78.0,50.0,103.0,28.0,27.0,20.0,3,31-35,"N101,000 - N250,000",Bank B,Male,,Lagos,Bachelor's Decree,Civil/Public Servant,Yes,Bank B,Bank H
21249,25.5,25000.0,5.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,-9.0,0.0,0,21-30,"Below N50,000",Bank J,Female,Bank J,Lagos,OND/HND,Unemployed,No,,
21253,19,25000.0,3.0,6.0,6.0,6.0,30.0,0.0,0.0,24.0,9.0,0.0,0.0,1,18-20,"Below N50,000",Bank C,Female,Bank C,Lagos,Secondary school leaving certificate,Student,Yes,Bank C,Bank N
21254,33,75000.0,8.0,2.0,2.0,0.5,6.0,19.0,22.0,94.0,30.0,40.0,24.0,3,31-35,"N50,000 - N100,000",Bank C,Male,Bank C,Lagos,Bachelor's Decree,Self Employed,No,,
21255,33,75000.0,5.0,2.0,2.0,0.5,6.0,4.0,0.0,55.0,30.0,30.0,16.0,0,31-35,"N50,000 - N100,000",Bank B,Male,Bank C,Lagos,Bachelor's Decree,Self Employed,No,,
21256,25.5,25000.0,5.0,6.0,6.0,6.0,6.0,-36.0,0.0,-53.0,0.0,0.0,0.0,0,21-30,"Below N50,000",Bank C,Female,Bank C,Lagos,No Response,Self Employed,No,,
21259,25.5,25000.0,7.0,2.0,6.0,0.0,0.0,19.0,20.0,30.0,30.0,20.0,10.0,0,21-30,"Below N50,000",Bank A,Female,Bank L,Lagos,Bachelor's Decree,Unemployed,Yes,Bank D,Bank L
21260,25.5,25000.0,2.0,2.0,6.0,0.0,0.0,-78.0,-50.0,-110.0,30.0,20.0,10.0,0,21-30,"Below N50,000",Bank L,Female,Bank L,Lagos,Bachelor's Decree,Unemployed,Yes,Bank D,Bank L
21262,25.5,25000.0,2.0,2.0,6.0,6.0,6.0,58.0,40.0,138.0,50.0,50.0,20.0,3,21-30,"Below N50,000",Bank N,Male,Bank N,Lagos,Bachelor's Decree,Self Employed,Yes,Bank B,Bank H
21263,25.5,25000.0,5.0,2.0,6.0,6.0,6.0,19.0,20.0,46.0,50.0,20.0,-10.0,0,21-30,"Below N50,000",Bank C,Male,Bank N,Lagos,Bachelor's Decree,Self Employed,Yes,Bank B,Bank H
21264,25.5,25000.0,4.0,2.0,6.0,6.0,2.0,0.0,0.0,-16.0,0.0,0.0,0.0,0,21-30,"Below N50,000",Bank D,Male,Bank D,Lagos,Secondary school leaving certificate,Student,Yes,Bank A,Bank D
21265,33,75000.0,5.0,2.0,30.0,0.0,0.5,10.0,0.0,17.0,20.0,0.0,0.0,0,31-35,"N50,000 - N100,000",Bank C,Male,Bank C,Lagos,Bachelor's Decree,Private Sector Employee,No,,
21272,33,25000.0,4.0,6.0,6.0,0.0,0.0,-9.0,0.0,-26.0,0.0,9.0,0.0,0,31-35,"Below N50,000",Bank H,Female,Bank D,Lagos,No Response,Self Employed,No,,
21273,33,25000.0,3.0,6.0,6.0,0.0,0.0,-34.0,-18.0,0.0,0.0,0.0,0.0,0,31-35,"Below N50,000",Bank D,Female,Bank D,Lagos,No Response,Self Employed,No,,
21274,19,25000.0,1.0,30.0,6.0,0.0,0.5,97.0,50.0,131.0,37.0,40.0,27.0,3,18-20,"Below N50,000",Bank B,Female,Bank B,Lagos,Secondary school leaving certificate,Others,No,,
21275,19,25000.0,1.0,30.0,6.0,0.0,0.5,49.0,10.0,115.0,37.0,40.0,27.0,3,18-20,"Below N50,000",Bank C,Female,Bank B,Lagos,Secondary school leaving certificate,Others,No,,
21276,33,25000.0,7.0,6.0,6.0,0.0,0.0,0.0,0.0,48.0,14.0,5.0,6.0,0,31-35,"Below N50,000",Bank J,Male,Bank J,Lagos,No Response,Self Employed,No,,
21277,33,25000.0,7.0,6.0,6.0,0.0,0.0,0.0,0.0,38.0,14.0,5.0,12.0,0,31-35,"Below N50,000",Bank B,Male,Bank J,Lagos,No Response,Self Employed,No,,
21281,25.5,25000.0,4.0,30.0,2.0,2.0,0.5,-17.0,-8.0,-40.0,-15.0,-15.0,-9.0,0,21-30,"Below N50,000",,Male,,Lagos,Secondary school leaving certificate,Student,No,,
21282,33,25000.0,5.0,2.0,6.0,2.0,0.5,0.0,0.0,0.0,-7.0,-9.0,0.0,0,31-35,"Below N50,000",Bank D,Male,Bank L,Lagos,Secondary school leaving certificate,Self Employed,Yes,Bank L,Bank C
21283,25.5,25000.0,3.0,2.0,6.0,6.0,6.0,28.0,10.0,17.0,0.0,18.0,0.0,0,21-30,"Below N50,000",Bank A,Male,Bank I,Lagos,Secondary school leaving certificate,Student,No,,
21284,25.5,25000.0,6.0,6.0,30.0,6.0,6.0,18.0,9.0,25.0,-9.0,-18.0,0.0,0,21-30,"Below N50,000",Bank Q,Male,Bank Q,Lagos,Secondary school leaving certificate,Student,Yes,Bank Q,Bank D
21285,25.5,25000.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21-30,"Below N50,000",Bank C,Male,Bank A,Lagos,Secondary school leaving certificate,Self Employed,No,,
21286,25.5,25000.0,3.0,0.5,0.5,0.5,0.0,96.0,60.0,79.0,60.0,28.0,16.0,3,21-30,"Below N50,000",Bank A,Male,Bank A,Lagos,Secondary school leaving certificate,Self Employed,No,,
21288,25.5,25000.0,5.0,6.0,6.0,6.0,6.0,-10.0,10.0,0.0,10.0,-10.0,10.0,0,21-30,"Below N50,000",Bank A,Female,,Lagos,Secondary school leaving certificate,Private Sector Employee,No,,
21289,33,75000.0,5.0,6.0,30.0,6.0,2.0,45.0,28.0,87.0,17.0,34.0,16.0,3,31-35,"N50,000 - N100,000",Bank B,Male,Bank B,Lagos,OND/HND,Self Employed,No,,
21291,38,75000.0,12.0,6.0,30.0,6.0,6.0,56.0,25.0,70.0,9.0,23.0,16.0,2,36-40,"N50,000 - N100,000",Bank C,Male,Bank C,Lagos,OND/HND,Self Employed,No,,
21292,38,75000.0,5.0,6.0,30.0,6.0,6.0,19.0,8.0,18.0,9.0,-7.0,0.0,0,36-40,"N50,000 - N100,000",Bank A,Male,Bank C,Lagos,OND/HND,Self Employed,No,,
21293,33,25000.0,5.0,6.0,6.0,0.5,0.5,-9.0,0.0,-18.0,0.0,-10.0,0.0,0,31-35,"Below N50,000",Bank L,Male,Bank L,Lagos,Secondary school leaving certificate,Self Employed,No,,
21294,33,25000.0,5.0,6.0,6.0,0.5,0.5,-9.0,0.0,-18.0,0.0,-10.0,0.0,0,31-35,"Below N50,000",Bank L,Male,Bank L,Lagos,Secondary school leaving certificate,Self Employed,No,,
21295,25.5,25000.0,2.0,2.0,6.0,2.0,2.0,-8.0,-9.0,-25.0,-8.0,-8.0,0.0,0,21-30,"Below N50,000",Bank E,Female,Bank E,Lagos,Secondary school leaving certificate,Student,No,,
21296,19,25000.0,2.0,6.0,6.0,6.0,6.0,16.0,17.0,0.0,9.0,0.0,0.0,0,18-20,"Below N50,000",Bank A,Female,Bank A,Lagos,Secondary school leaving certificate,Student,No,,
21297,33,75000.0,8.0,6.0,6.0,6.0,6.0,55.0,27.0,67.0,28.0,28.0,9.0,3,31-35,"N50,000 - N100,000",Bank H,Female,Bank B,Lagos,Bachelor's Decree,Self Employed,No,,
21298,33,75000.0,6.0,6.0,6.0,6.0,6.0,47.0,9.0,76.0,18.0,9.0,18.0,0,31-35,"N50,000 - N100,000",Bank B,Female,Bank B,Lagos,Bachelor's Decree,Self Employed,No,,
21299,25.5,25000.0,4.0,6.0,30.0,6.0,6.0,20.0,10.0,12.0,0.0,0.0,0.0,0,21-30,"Below N50,000",Bank H,Female,Bank H,Lagos,Secondary school leaving certificate,Student,No,,
21300,25.5,25000.0,4.0,6.0,6.0,6.0,6.0,10.0,-1.0,-10.0,-10.0,0.0,0.0,0,21-30,"Below N50,000",Bank M,Female,Bank M,Lagos,Secondary school leaving certificate,Private Sector Employee,Yes,Bank A,Bank H
21301,33,75000.0,6.0,30.0,30.0,6.0,6.0,58.0,29.0,76.0,28.0,28.0,9.0,1,31-35,"N50,000 - N100,000",Bank C,Male,Bank C,Lagos,Bachelor's Decree,Private Sector Employee,No,,
21302,33,75000.0,4.0,30.0,30.0,6.0,6.0,-10.0,-10.0,-27.0,9.0,9.0,0.0,0,31-35,"N50,000 - N100,000",Bank P,Male,Bank C,Lagos,Bachelor's Decree,Private Sector Employee,No,,
21303,19,25000.0,6.0,6.0,6.0,30.0,0.5,8.0,8.0,-24.0,16.0,0.0,0.0,1,18-20,"Below N50,000",Bank I,Female,Bank I,Lagos,Secondary school leaving certificate,Student,No,,
21308,19,25000.0,3.0,2.0,6.0,2.0,2.0,0.0,0.0,-9.0,-18.0,0.0,-8.0,0,18-20,"Below N50,000",Bank K,Female,Bank K,Lagos,Secondary school leaving certificate,Student,Yes,Bank K,Bank B
21309,33,75000.0,13.0,6.0,30.0,6.0,0.0,0.0,0.0,-72.0,-8.0,-8.0,0.0,0,31-35,"N50,000 - N100,000",Bank A,Female,Bank A,Lagos,OND/HND,Self Employed,No,,
21310,19,25000.0,2.0,6.0,30.0,6.0,6.0,23.0,8.0,17.0,-9.0,0.0,0.0,0,18-20,"Below N50,000",Bank F,Female,Bank F,Lagos,Secondary school leaving certificate,Student,No,,
21311,33,175000.0,6.0,2.0,6.0,0.5,2.0,35.0,26.0,44.0,9.0,20.0,8.0,0,31-35,"N101,000 - N250,000",Bank H,Male,Bank H,Lagos,Bachelor's Decree,Private Sector Employee,No,,
21312,25.5,25000.0,1.0,6.0,6.0,6.0,6.0,-10.0,-9.0,0.0,0.0,-10.0,0.0,0,21-30,"Below N50,000",Bank G,Female,Bank G,Lagos,Bachelor's Decree,Unemployed,No,,
21313,25.5,25000.0,9.0,6.0,6.0,6.0,6.0,76.0,27.0,28.0,28.0,38.0,18.0,3,21-30,"Below N50,000",Bank B,Female,Bank G,Lagos,Bachelor's Decree,Unemployed,No,,
21314,25.5,25000.0,3.0,6.0,6.0,2.0,0.5,0.0,0.0,-26.0,-9.0,0.0,0.0,0,21-30,"Below N50,000",Bank O,Female,Bank O,Lagos,Secondary school leaving certificate,Student,Yes,Bank O,Bank H
21315,25.5,75000.0,3.0,30.0,30.0,30.0,30.0,-10.0,-10.0,-20.0,-10.0,0.0,0.0,1,21-30,"N50,000 - N100,000",Bank H,Male,Bank K,Lagos,Secondary school leaving certificate,Self Employed,No,,
21316,25.5,75000.0,2.0,30.0,30.0,30.0,30.0,-20.0,-10.0,-20.0,0.0,-10.0,0.0,1,21-30,"N50,000 - N100,000",Bank G,Male,Bank K,Lagos,Secondary school leaving certificate,Self Employed,No,,
21317,25.5,75000.0,3.0,30.0,30.0,30.0,30.0,0.0,0.0,-20.0,0.0,0.0,0.0,1,21-30,"N50,000 - N100,000",Bank Q,Male,Bank K,Lagos,Secondary school leaving certificate,Self Employed,No,,
21318,25.5,75000.0,2.0,30.0,30.0,30.0,30.0,0.0,0.0,-10.0,-10.0,0.0,0.0,1,21-30,"N50,000 - N100,000",Bank K,Male,Bank K,Lagos,Secondary school leaving certificate,Self Employed,No,,
21319,33,175000.0,4.0,6.0,30.0,6.0,6.0,53.0,25.0,51.0,9.0,9.0,0.0,0,31-35,"N101,000 - N250,000",Bank H,Male,Bank H,Lagos,OND/HND,Self Employed,No,,
21320,33,175000.0,2.0,6.0,30.0,6.0,6.0,18.0,0.0,9.0,1.0,9.0,0.0,0,31-35,"N101,000 - N250,000",Bank A,Male,Bank H,Lagos,OND/HND,Self Employed,No,,
21324,25.5,25000.0,5.0,2.0,6.0,2.0,6.0,0.0,0.0,-24.0,0.0,0.0,0.0,0,21-30,"Below N50,000",Bank C,Female,Bank C,Lagos,Secondary school leaving certificate,Student,No,,
21325,25.5,25000.0,2.0,6.0,6.0,0.0,0.0,42.0,17.0,16.0,3.0,-9.0,5.0,0,21-30,"Below N50,000",Bank A,Female,,Lagos,Secondary school leaving certificate,Private Sector Employee,No,,
21326,33,75000.0,8.0,2.0,6.0,0.5,2.0,10.0,-20.0,-15.0,20.0,0.0,0.0,0,31-35,"N50,000 - N100,000",Bank I,Male,Bank A,Lagos,OND/HND,Self Employed,No,,
21327,25.5,75000.0,6.0,2.0,6.0,0.5,0.5,27.0,0.0,16.0,10.0,0.0,9.0,0,21-30,"N50,000 - N100,000",Bank D,Male,Bank D,Lagos,OND/HND,Self Employed,No,,
21328,25.5,25000.0,8.0,2.0,2.0,0.0,0.0,-5.0,6.0,-34.0,-6.0,-10.0,0.0,0,21-30,"Below N50,000",Bank L,Female,Bank L,Lagos,Secondary school leaving certificate,Private Sector Employee,No,,
21329,25.5,25000.0,3.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21-30,"Below N50,000",Bank F,Male,Bank F,Lagos,Secondary school leaving certificate,Student,No,,
21330,25.5,25000.0,4.0,6.0,6.0,2.0,2.0,0.0,-7.0,-7.0,-8.0,0.0,0.0,0,21-30,"Below N50,000",Bank B,Male,Bank B,Lagos,Secondary school leaving certificate,Self Employed,No,,
21333,33,75000.0,5.0,6.0,6.0,6.0,6.0,-10.0,0.0,-112.0,0.0,-18.0,0.0,0,31-35,"N50,000 - N100,000",Bank L,Male,Bank E,Lagos,OND/HND,Self Employed,No,,
21334,33,75000.0,4.0,6.0,6.0,6.0,6.0,-37.0,-36.0,-56.0,-20.0,-18.0,-9.0,0,31-35,"N50,000 - N100,000",Bank E,Male,Bank E,Lagos,OND/HND,Self Employed,No,,
21337,25.5,25000.0,5.0,2.0,6.0,6.0,6.0,10.0,10.0,36.0,9.0,0.0,0.0,0,21-30,"Below N50,000",Bank B,Female,Bank B,Lagos,Secondary school leaving certificate,Student,No,,
21338,50.5,75000.0,6.0,0.5,6.0,0.5,0.0,80.0,40.0,120.0,10.0,5.0,2.0,2,41-60,"N50,000 - N100,000",Bank G,Female,Bank G,Lagos,OND/HND,Self Employed,No,,
21339,25.5,25000.0,2.0,6.0,6.0,6.0,0.5,34.0,17.0,51.0,18.0,16.0,8.0,0,21-30,"Below N50,000",,Male,,Lagos,Secondary school leaving certificate,Student,No,,
21342,25.5,25000.0,3.0,6.0,6.0,6.0,6.0,17.0,0.0,7.0,9.0,0.0,0.0,0,21-30,"Below N50,000",Bank F,Female,Bank F,Lagos,OND/HND,Unemployed,No,,
21343,25.5,25000.0,5.0,6.0,6.0,6.0,6.0,-17.0,0.0,-15.0,-9.0,-9.0,-18.0,0,21-30,"Below N50,000",Bank A,Female,Bank F,Lagos,OND/HND,Unemployed,No,,
21344,33,25000.0,8.0,2.0,6.0,0.5,0.0,-80.0,-40.0,-80.0,20.0,20.0,10.0,0,31-35,"Below N50,000",Bank B,Male,Bank B,Lagos,OND/HND,Self Employed,No,,
21346,33,25000.0,3.0,6.0,0.5,0.0,0.0,9.0,0.0,15.0,9.0,19.0,0.0,0,31-35,"Below N50,000",Bank E,Male,Bank E,Lagos,Secondary school leaving certificate,Self Employed,Yes,Bank E,Bank N
21347,33,75000.0,3.0,2.0,30.0,0.5,0.0,10.0,0.0,138.0,6.0,-5.0,-7.0,0,31-35,"N50,000 - N100,000",Bank N,Male,Bank N,Lagos,Secondary school leaving certificate,Self Employed,No,,
21348,25.5,25000.0,3.0,6.0,30.0,6.0,6.0,0.0,0.0,16.0,0.0,0.0,0.0,0,21-30,"Below N50,000",Bank C,Male,Bank C,Lagos,Secondary school leaving certificate,Student,No,,
21349,25.5,25000.0,2.0,2.0,6.0,0.5,0.0,95.0,60.0,122.0,21.0,0.0,12.0,3,21-30,"Below N50,000",Bank H,Male,Bank H,Lagos,Secondary school leaving certificate,Self Employed,Yes,Bank H,Bank B
21350,25.5,25000.0,5.0,6.0,6.0,6.0,6.0,0.0,-19.0,-67.0,-19.0,-20.0,-9.0,0,21-30,"Below N50,000",Bank C,Male,Bank C,Lagos,OND/HND,Unemployed,No,,
21351,25.5,25000.0,4.0,6.0,6.0,6.0,6.0,10.0,0.0,-10.0,-10.0,-10.0,-10.0,0,21-30,"Below N50,000",Bank L,Male,Bank L,Lagos,Secondary school leaving certificate,Student,Yes,Bank L,Bank C
21353,25.5,75000.0,1.0,0.5,6.0,2.0,6.0,82.0,15.0,141.0,-45.0,60.0,-3.0,3,21-30,"N50,000 - N100,000",Bank D,Male,Bank D,Lagos,Bachelor's Decree,Self Employed,No,,
21354,25.5,75000.0,1.0,0.5,6.0,2.0,6.0,-76.0,-45.0,49.0,-45.0,60.0,-3.0,0,21-30,"N50,000 - N100,000",Bank B,Male,Bank D,Lagos,Bachelor's Decree,Self Employed,No,,
21355,33,25000.0,14.0,6.0,6.0,6.0,6.0,0.0,-10.0,-10.0,-20.0,0.0,0.0,0,31-35,"Below N50,000",Bank F,Male,Bank F,Lagos,Bachelor's Decree,Private Sector Employee,Yes,Bank F,Bank N
21356,25.5,75000.0,7.0,0.5,6.0,0.0,0.0,28.0,40.0,75.0,46.0,9.0,30.0,3,21-30,"N50,000 - N100,000",Bank C,Male,Bank C,Lagos,Bachelor's Decree,Student,No,,
21357,25.5,75000.0,5.0,2.0,6.0,6.0,6.0,36.0,18.0,108.0,18.0,36.0,12.0,3,21-30,"N50,000 - N100,000",Bank N,Female,Bank N,Lagos,Bachelor's Decree,Self Employed,No,,
21358,25.5,175000.0,1.0,2.0,2.0,2.0,0.5,24.0,30.0,78.0,40.0,40.0,10.0,3,21-30,"N101,000 - N250,000",Bank G,Female,,Lagos,Bachelor's Decree,Private Sector Employee,No,,
21359,25.5,175000.0,1.0,2.0,2.0,2.0,0.5,72.0,40.0,78.0,40.0,40.0,10.0,3,21-30,"N101,000 - N250,000",Bank K,Female,,Lagos,Bachelor's Decree,Private Sector Employee,No,,
21360,25.5,175000.0,6.0,2.0,2.0,2.0,0.5,66.0,40.0,56.0,40.0,40.0,10.0,3,21-30,"N101,000 - N250,000",Bank A,Female,,Lagos,Bachelor's Decree,Private Sector Employee,No,,
21361,25.5,25000.0,7.0,2.0,6.0,0.5,6.0,15.0,10.0,24.0,31.0,-6.0,1.0,0,21-30,"Below N50,000",Bank H,Male,Bank H,Lagos,Bachelor's Decree,Others,No,,
21362,25.5,25000.0,2.0,2.0,6.0,0.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21-30,"Below N50,000",Bank B,Male,Bank H,Lagos,Bachelor's Decree,Others,No,,
21367,25.5,25000.0,7.0,0.5,30.0,30.0,0.5,10.0,-30.0,40.0,20.0,20.0,20.0,1,21-30,"Below N50,000",Bank H,Male,Bank H,Lagos,Bachelor's Decree,Unemployed,No,,
21368,25.5,25000.0,1.0,0.5,30.0,30.0,0.5,10.0,10.0,0.0,20.0,20.0,20.0,1,21-30,"Below N50,000",Bank A,Male,Bank H,Lagos,Bachelor's Decree,Unemployed,No,,
21369,25.5,25000.0,5.0,0.5,30.0,30.0,0.5,10.0,20.0,60.0,20.0,20.0,20.0,1,21-30,"Below N50,000",Bank C,Male,Bank H,Lagos,Bachelor's Decree,Unemployed,No,,
21370,19,25000.0,2.0,2.0,6.0,2.0,2.0,8.0,-8.0,-9.0,0.0,-9.0,0.0,0,18-20,"Below N50,000",Bank D,Female,Bank D,Lagos,Secondary school leaving certificate,Student,Yes,Bank D,Bank H
21375,19,25000.0,3.0,2.0,0.5,0.0,0.0,-10.0,20.0,20.0,10.0,0.0,10.0,0,18-20,"Below N50,000",Bank C,Female,,Lagos,Secondary school leaving certificate,Student,No,,
21376,19,25000.0,1.0,6.0,6.0,0.0,0.5,29.0,-28.0,45.0,-2.0,-5.0,30.0,0,18-20,"Below N50,000",Bank C,Male,Bank C,Lagos,Secondary school leaving certificate,Unemployed,No,,
21382,50.5,175000.0,16.0,2.0,6.0,6.0,0.0,33.0,17.0,37.0,50.0,50.0,18.0,2,41-60,"N101,000 - N250,000",Bank B,Female,Bank C,Lagos,Master's Degree,Civil/Public Servant,No,,
21383,50.5,175000.0,1.0,2.0,6.0,6.0,0.0,58.0,17.0,46.0,30.0,30.0,18.0,3,41-60,"N101,000 - N250,000",Bank C,Female,Bank C,Lagos,Master's Degree,Civil/Public Servant,No,,
21384,50.5,175000.0,14.0,2.0,6.0,6.0,0.0,25.0,17.0,38.0,50.0,50.0,18.0,2,41-60,"N101,000 - N250,000",Bank I,Female,Bank C,Lagos,Master's Degree,Civil/Public Servant,No,,
21385,25.5,75000.0,7.0,0.5,6.0,0.5,0.0,20.0,20.0,50.0,20.0,20.0,10.0,0,21-30,"N50,000 - N100,000",Bank C,Female,Bank C,Lagos,Bachelor's Decree,Private Sector Employee,No,,
21386,25.5,25000.0,5.0,2.0,6.0,6.0,6.0,8.0,0.0,96.0,0.0,0.0,0.0,0,21-30,"Below N50,000",Bank H,Female,,Lagos,Secondary school leaving certificate,Student,No,,
21387,25.5,25000.0,7.0,0.5,2.0,0.0,0.0,60.0,32.0,130.0,21.0,6.0,6.0,3,21-30,"Below N50,000",Bank L,Male,Bank L,Lagos,Bachelor's Decree,Unemployed,No,,
21388,25.5,25000.0,3.0,0.5,2.0,0.0,0.0,70.0,32.0,118.0,14.0,12.0,12.0,3,21-30,"Below N50,000",Bank C,Male,Bank L,Lagos,Bachelor's Decree,Unemployed,No,,
21389,25.5,25000.0,1.0,0.5,2.0,0.0,0.0,70.0,16.0,110.0,21.0,12.0,12.0,3,21-30,"Below N50,000",Bank I,Male,Bank L,Lagos,Bachelor's Decree,Unemployed,No,,
21392,19,25000.0,1.0,0.5,0.5,0.0,0.0,18.0,-15.0,40.0,-14.0,11.0,15.0,0,18-20,"Below N50,000",Bank B,Female,Bank B,Lagos,Secondary school leaving certificate,Student,No,,
21393,25.5,25000.0,3.0,2.0,6.0,30.0,2.0,-10.0,-10.0,-10.0,0.0,0.0,0.0,1,21-30,"Below N50,000",Bank D,Male,,Lagos,Secondary school leaving certificate,Student,No,,
21394,50.5,175000.0,6.0,0.5,6.0,0.5,0.5,45.0,40.0,48.0,28.0,40.0,10.0,2,41-60,"N101,000 - N250,000",Bank D,Female,Bank F,Lagos,Bachelor's Decree,Civil/Public Servant,No,,
21395,50.5,175000.0,20.0,0.5,6.0,0.5,0.5,35.0,40.0,16.0,28.0,30.0,-10.0,2,41-60,"N101,000 - N250,000",Bank B,Female,Bank F,Lagos,Bachelor's Decree,Civil/Public Servant,No,,
21396,50.5,175000.0,22.0,0.5,6.0,0.5,0.5,28.0,30.0,40.0,28.0,30.0,0.0,2,41-60,"N101,000 - N250,000",Bank F,Female,Bank F,Lagos,Bachelor's Decree,Civil/Public Servant,No,,
21400,33,75000.0,5.0,6.0,6.0,0.0,0.0,50.0,20.0,49.0,6.0,41.0,18.0,3,31-35,"N50,000 - N100,000",Bank L,Male,Bank L,Lagos,OND/HND,Self Employed,Yes,Bank L,Bank C
21401,33,75000.0,2.0,6.0,6.0,0.0,0.0,55.0,60.0,118.0,6.0,41.0,27.0,3,31-35,"N50,000 - N100,000",Bank C,Male,Bank L,Lagos,OND/HND,Self Employed,Yes,Bank L,Bank C
21406,25.5,75000.0,5.0,2.0,6.0,0.0,0.0,71.0,60.0,12.0,45.0,-13.0,-10.0,0,21-30,"N50,000 - N100,000",Bank C,Male,Bank C,Lagos,Bachelor's Decree,Self Employed,No,,
21407,25.5,75000.0,3.0,2.0,6.0,0.0,0.0,71.0,40.0,32.0,54.0,17.0,20.0,3,21-30,"N50,000 - N100,000",Bank I,Male,Bank C,Lagos,Bachelor's Decree,Self Employed,No,,
21408,19,25000.0,2.0,2.0,6.0,0.5,0.5,52.0,28.0,60.0,18.0,48.0,10.0,3,18-20,"Below N50,000",Bank C,Female,Bank C,Lagos,Secondary school leaving certificate,Student,No,,
21409,33,25000.0,5.0,2.0,6.0,0.5,0.0,34.0,20.0,24.0,27.0,17.0,-8.0,0,31-35,"Below N50,000",Bank B,Male,Bank B,Lagos,Bachelor's Decree,Private Sector Employee,Yes,Bank B,Bank A
21410,33,175000.0,12.0,2.0,6.0,0.5,0.5,86.0,57.0,112.0,27.0,39.0,20.0,3,31-35,"N101,000 - N250,000",Bank F,Male,Bank F,Lagos,Bachelor's Decree,Civil/Public Servant,No,,
21411,33,175000.0,15.0,0.5,6.0,30.0,0.0,30.0,20.0,70.0,39.0,57.0,21.0,1,31-35,"N101,000 - N250,000",Bank A,Female,Bank H,Lagos,Bachelor's Decree,Self Employed,No,,
21412,33,175000.0,5.0,0.5,6.0,30.0,0.0,60.0,20.0,90.0,38.0,57.0,21.0,3,31-35,"N101,000 - N250,000",Bank H,Female,Bank H,Lagos,Bachelor's Decree,Self Employed,No,,
21413,33,175000.0,4.0,0.5,6.0,30.0,0.0,0.0,40.0,90.0,57.0,57.0,21.0,3,31-35,"N101,000 - N250,000",Bank O,Female,Bank H,Lagos,Bachelor's Decree,Self Employed,No,,
21414,19,25000.0,1.0,2.0,2.0,0.5,2.0,54.0,28.0,60.0,18.0,35.0,10.0,3,18-20,"Below N50,000",Bank C,Female,Bank F,Lagos,OND/HND,Student,No,,
21416,25.5,25000.0,4.0,2.0,6.0,30.0,0.5,0.0,-18.0,32.0,0.0,18.0,0.0,1,21-30,"Below N50,000",Bank E,Male,Bank E,Lagos,Bachelor's Decree,Unemployed,No,,
21417,38,175000.0,15.0,2.0,6.0,6.0,0.0,33.0,17.0,37.0,50.0,40.0,18.0,2,36-40,"N101,000 - N250,000",Bank B,Female,Bank B,Lagos,Master's Degree,Civil/Public Servant,No,,
21418,38,175000.0,3.0,2.0,6.0,6.0,0.0,-26.0,-25.0,-10.0,0.0,0.0,0.0,0,36-40,"N101,000 - N250,000",Bank F,Female,Bank B,Lagos,Master's Degree,Civil/Public Servant,No,,
21420,38,175000.0,1.0,2.0,6.0,6.0,0.0,58.0,17.0,46.0,30.0,40.0,18.0,3,36-40,"N101,000 - N250,000",Bank C,Female,Bank C,Lagos,Bachelor's Decree,Civil/Public Servant,No,,
